city_id,city,country,citation_sum,p_count,lat,lon,population,gdp_per_capita,time_zone,safety_index
3148,Sanandaj,Iran,54,1,35.3126047,46.9978639,,,,
3149,Battambang,Cambodia,54,1,12.9256791,103.23171364274523,,,,
3150,Gondar,Ethiopia,4,1,12.610368,37.466766,,,,
3151,Tegal,Indonesia,77,1,-6.86981145,109.11506461278614,,,,
3152,Iruma,Japan,1,1,35.8358142,139.3909293,,,,
3153,Valley City,United States,3,1,46.923313,-98.003155,,,,
3154,Beauvais,France,0,1,49.4300997,2.0823355,,,,
3155,Saint-Genis-Laval,France,103,1,45.6950021,4.7928827,,,,
3156,Aubiere,France,103,1,45.7512575,3.1144195,,,,
3157,Ludwigsburg,Germany,21,1,48.8953937,9.1895147,,,,
3158,Nova Gorica,Slovenia,27,1,45.9580549,13.6474706,,,,
3159,"Nha Trang, Khanh Hoa",Viet Nam,6,1,12.2431693,109.1898675,,,,
3160,Palestine,Palestine,10,1,34.9815919712211,-90.91093935830284,,,,
3161,Maraba,Brazil,0,1,-5.3462821,-49.1007401,,,,
3162,Neuchatel,Switzerland,9,1,46.9895828,6.9292641,,,,
3163,Cao Lãnh City,Viet Nam,3,1,15.987059586803268,108.23577628664157,,,,
3164,Campus,Pakistan,21,1,30.3308401,71.247499,,,,
3165,Colleferro,Italy,24,1,41.727033,13.0041576,,,,
3166,Tuscaloosa Northport,United States,16,1,33.218226099999995,-87.61046389465531,,,,
3167,Luang Prabang Province,Laos,3,1,20.2115415,102.612684,,,,
3168,La Serena,Chile,75,1,-29.902631,-71.2520253,,,,
